compound_names,smiles,isactive,,
"(3,4-diethoxyphenyl)(6,7-dimethoxy-1-((4-nitrophenoxy)methyl)-3,4-dihydroisoquinolin-2(1H)-yl)methanone",CCOc1ccc(C(=O)N2CCc3cc(OC)c(OC)cc3C2COc2ccc([N+](=O)[O-])cc2)cc1OCC,0.876717517,11,0.16%
"6,7-Dimethoxy-1-[(4-nitrophenoxy)methyl]-2-(3,4,5-triethoxybenzoyl)-1,2,3,4-tetrahydroisoquinoline",CCOc1cc(C(=O)N2CCc3cc(OC)c(OC)cc3C2COc2ccc([N+](=O)[O-])cc2)cc(OCC)c1OCC,0.876542372,12,0.17%
2-methyl-N-(2-methyl-4-(2-methyl-4-oxoquinazolin-3(4H)-yl)phenyl)-3-nitrobenzamide,Cc1cc(-n2c(C)nc3ccccc3c2=O)ccc1NC(=O)c1cccc([N+](=O)[O-])c1C,0.870389003,13,0.19%
N-(2-fluoro-5-(2-methyl-4-oxoquinazolin-3(4H)-yl)phenyl)-4-methyl-3-nitrobenzamide,Cc1ccc(C(=O)Nc2cc(-n3c(C)nc4ccccc4c3=O)ccc2F)cc1[N+](=O)[O-],0.868157515,14,0.20%
N-[[3-(4-fluorophenyl)-1-phenylpyrazol-4-yl]methyl]-4-nitrobenzamide,O=C(NCc1cn(-c2ccccc2)nc1-c1ccc(F)cc1)c1ccc([N+](=O)[O-])cc1,0.867276776,15,0.22%
"(6,7-dimethoxy-1-((4-nitrophenoxy)methyl)-3,4-dihydroisoquinolin-2(1H)-yl)(2-ethoxyphenyl)methanone",CCOc1ccccc1C(=O)N1CCc2cc(OC)c(OC)cc2C1COc1ccc([N+](=O)[O-])cc1,0.864135501,16,0.23%
"3-benzyl-1-(2-chlorobenzyl)[1]benzothieno[3,2-d]pyrimidine-2,4(1H,3H)-dione",O=c1c2sc3ccccc3c2n(Cc2ccccc2Cl)c(=O)n1Cc1ccccc1,0.862119333,17,0.25%
"(6,7-dimethoxy-1-((4-nitrophenoxy)methyl)-3,4-dihydroisoquinolin-2(1H)-yl)(2-methyl-3-nitrophenyl)methanone",COc1cc2c(cc1OC)C(COc1ccc([N+](=O)[O-])cc1)N(C(=O)c1cccc([N+](=O)[O-])c1C)CC2,0.861920918,18,0.26%
"(E)-ethyl 2-(2-hydroxy-5-nitrobenzylidene)-7-methyl-3-oxo-5-phenyl-3,5-dihydro-2H-thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(C)N=c2s/c(=C/c3cc([N+](=O)[O-])ccc3O)c(=O)n2C1c1ccccc1,0.860482978,19,0.28%
"N-(2-methyl-4-(2-methyl-4-oxoquinazolin-3(4H)-yl)phenyl)-3,5-dinitrobenzamide",Cc1cc(-n2c(C)nc3ccccc3c2=O)ccc1NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0.85858613,20,0.29%
Tegobuvir,C1=CC=C(C(=C1)C2=NC3=CN(C=CC3=N2)CC4=NN=C(C=C4)C5=C(C=C(C=C5)C(F)(F)F)C(F)(F)F)F,0.857382283,21,0.30%
"(6,7-dimethoxy-1-((4-nitrophenoxy)methyl)-3,4-dihydroisoquinolin-2(1H)-yl)(4-methyl-3-nitrophenyl)methanone",COc1cc2c(cc1OC)C(COc1ccc([N+](=O)[O-])cc1)N(C(=O)c1ccc(C)c([N+](=O)[O-])c1)CC2,0.85719528,22,0.32%
"(6,7-dimethoxy-1-((4-nitrophenoxy)methyl)-3,4-dihydroisoquinolin-2(1H)-yl)(3-nitrophenyl)methanone",COc1cc2c(cc1OC)C(COc1ccc([N+](=O)[O-])cc1)N(C(=O)c1cccc([N+](=O)[O-])c1)CC2,0.854165495,23,0.33%
"6,7-Dimethoxy-1-[(4-methoxyphenoxy)methyl]-2-(3-nitrobenzoyl)-1,2,3,4-tetrahydroisoquinoline",COc1ccc(OCC2c3cc(OC)c(OC)cc3CCN2C(=O)c2cccc([N+](=O)[O-])c2)cc1,0.851535699,24,0.35%
"N-(2-methyl-4-oxo-3-phenyl-3,4-dihydroquinazolin-6-yl)-3,5-dinitrobenzamide",Cc1nc2ccc(NC(=O)c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)cc2c(=O)n1-c1ccccc1,0.851145539,25,0.36%
2-methyl-N-[3-(2-methyl-4-oxoquinazolin-3-yl)phenyl]-3-nitrobenzamide,Cc1c(C(=O)Nc2cccc(-n3c(C)nc4ccccc4c3=O)c2)cccc1[N+](=O)[O-],0.851000215,26,0.38%
"7-Ethyl-2-(5-methylisoxazol-3-yl)-1-(4-nitrophenyl)-1,2-dihydrochromeno[2,3-c]pyrrole-3,9-dione",CCc1ccc2oc3c(c(=O)c2c1)C(c1ccc([N+](=O)[O-])cc1)N(c1cc(C)on1)C3=O,0.850111273,27,0.39%
4-methyl-N-[3-(2-methyl-4-oxoquinazolin-3-yl)phenyl]-3-nitrobenzamide,Cc1ccc(C(=O)Nc2cccc(-n3c(C)nc4ccccc4c3=O)c2)cc1[N+](=O)[O-],0.849915496,28,0.41%
"N-[(1,3-diphenylpyrazol-4-yl)methyl]-3-nitrobenzamide",O=C(NCc1cn(-c2ccccc2)nc1-c1ccccc1)c1cccc([N+](=O)[O-])c1,0.84939254,29,0.42%
"N-[(1,3-diphenylpyrazol-4-yl)methyl]-4-nitrobenzamide",O=C(NCc1cn(-c2ccccc2)nc1-c1ccccc1)c1ccc([N+](=O)[O-])cc1,0.848207685,30,0.43%
"6,7-Dimethoxy-1-[(4-methoxyphenoxy)methyl]-2-(4-nitrobenzoyl)-1,2,3,4-tetrahydroisoquinoline",COc1ccc(OCC2c3cc(OC)c(OC)cc3CCN2C(=O)c2ccc([N+](=O)[O-])cc2)cc1,0.848007549,31,0.45%
AMG208,COC1=CC2=NC=CC(=C2C=C1)OCC3=NN=C4N3N=C(C=C4)C5=CC=CC=C5,0.846498369,32,0.46%
2-methyl-N-[4-(2-methyl-4-oxoquinazolin-3-yl)phenyl]-3-nitrobenzamide,Cc1c(C(=O)Nc2ccc(-n3c(C)nc4ccccc4c3=O)cc2)cccc1[N+](=O)[O-],0.846272099,33,0.48%
"N1,N5-bis(3-chlorophenyl)naphthalene-1,5-disulfonamide",O=S(=O)(Nc1cccc(Cl)c1)c1cccc2c(S(=O)(=O)Nc3cccc(Cl)c3)cccc12,0.846063547,34,0.49%
4-methyl-N-[4-(2-methyl-4-oxoquinazolin-3-yl)phenyl]-3-nitrobenzamide,Cc1ccc(C(=O)Nc2ccc(-n3c(C)nc4ccccc4c3=O)cc2)cc1[N+](=O)[O-],0.845970763,35,0.51%
"N-(4-(2-methyl-4-oxoquinazolin-3(4H)-yl)phenyl)-3,5-dinitrobenzamide",Cc1nc2ccccc2c(=O)n1-c1ccc(NC(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)cc1,0.845279096,36,0.52%
"2,5-Bis(hydroxymethyl)oxolane-2,3,4-triol",OCC1OC(O)(CO)C(O)C1O,0.844440858,37,0.54%
"N-(3-(2-methyl-4-oxoquinazolin-3(4H)-yl)phenyl)-3,5-dinitrobenzamide",Cc1nc2ccccc2c(=O)n1-c1cccc(NC(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)c1,0.843925873,38,0.55%
"Methyl 4-[[6,7-dimethoxy-2-(3-nitrobenzoyl)-3,4-dihydro-1H-isoquinolin-1-yl]methoxy]benzoate",COC(=O)c1ccc(OCC2c3cc(OC)c(OC)cc3CCN2C(=O)c2cccc([N+](=O)[O-])c2)cc1,0.842230155,39,0.57%
N-(2-fluoro-5-(2-methyl-4-oxoquinazolin-3(4H)-yl)phenyl)-4-nitrobenzamide,Cc1nc2ccccc2c(=O)n1-c1ccc(F)c(NC(=O)c2ccc([N+](=O)[O-])cc2)c1,0.841867909,40,0.58%
"N-[2-(3,4-dimethoxyphenyl)ethyl]-3-methyl-6-(3-nitrophenyl)imidazo[2,1-b][1,3]thiazole-2-carboxamide",COc1ccc(CCNC(=O)c2sc3nc(-c4cccc([N+](=O)[O-])c4)cn3c2C)cc1OC,0.838066664,41,0.59%
N-(2-benzoyl-4-chlorophenyl)-2-chloro-5-nitrobenzamide,O=C(Nc1ccc(Cl)cc1C(=O)c1ccccc1)c1cc([N+](=O)[O-])ccc1Cl,0.835815763,42,0.61%
"4-nitro-N-[4-(4-phenoxyphenyl)-1,3-thiazol-2-yl]benzamide",O=C(Nc1nc(-c2ccc(Oc3ccccc3)cc2)cs1)c1ccc([N+](=O)[O-])cc1,0.835600317,43,0.62%
"N-(benzo[d][1,3]dioxol-5-ylmethyl)-3-methyl-6-(3-nitrophenyl)imidazo[2,1-b]thiazole-2-carboxamide",Cc1c(C(=O)NCc2ccc3c(c2)OCO3)sc2nc(-c3cccc([N+](=O)[O-])c3)cn12,0.833650243,44,0.64%
3-methyl-N-[4-(2-methyl-4-oxoquinazolin-3-yl)phenyl]-4-nitrobenzamide,Cc1cc(C(=O)Nc2ccc(-n3c(C)nc4ccccc4c3=O)cc2)ccc1[N+](=O)[O-],0.833373344,45,0.65%
9-Hydroxyphenylfluoron,O=c1cc2oc3cc(O)c(O)cc3c(-c3ccccc3O)c-2cc1O,0.8326638,46,0.67%
N-[3-(2-methyl-4-oxoquinazolin-3-yl)phenyl]-3-nitrobenzamide,Cc1nc2ccccc2c(=O)n1-c1cccc(NC(=O)c2cccc([N+](=O)[O-])c2)c1,0.831829355,47,0.68%
"(E)-methyl 2-(2-hydroxy-5-nitrobenzylidene)-7-methyl-3-oxo-5-phenyl-3,5-dihydro-2H-thiazolo[3,2-a]pyrimidine-6-carboxylate",COC(=O)C1=C(C)N=c2s/c(=C/c3cc([N+](=O)[O-])ccc3O)c(=O)n2C1c1ccccc1,0.831765928,48,0.70%
7-[(4-Nitrophenyl)methoxy]-3-phenylchromen-4-one,O=c1c(-c2ccccc2)coc2cc(OCc3ccc([N+](=O)[O-])cc3)ccc12,0.831507309,49,0.71%
"(E)-ethyl 7-methyl-2-(3-nitrobenzylidene)-3-oxo-5-((E)-styryl)-3,5-dihydro-2H-thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(C)N=c2s/c(=C/c3cccc([N+](=O)[O-])c3)c(=O)n2C1/C=C/c1ccccc1,0.831085462,50,0.72%
N-(2-benzoyl-4-methylphenyl)-2-chloro-5-nitrobenzamide,Cc1ccc(NC(=O)c2cc([N+](=O)[O-])ccc2Cl)c(C(=O)c2ccccc2)c1,0.828837432,51,0.74%
N-[3-(2-methyl-4-oxoquinazolin-3-yl)phenyl]-4-nitrobenzamide,Cc1nc2ccccc2c(=O)n1-c1cccc(NC(=O)c2ccc([N+](=O)[O-])cc2)c1,0.828362427,52,0.75%
"2-chloro-N-(9,10-dioxo-9,10-dihydroanthracen-1-yl)-5-nitrobenzamide",O=C(Nc1cccc2c1C(=O)c1ccccc1C2=O)c1cc([N+](=O)[O-])ccc1Cl,0.827523576,53,0.77%
"2,2,2',2'-Tetramethylspiro[1,3-dioxolane-4,6'-3a,4,7,7a-tetrahydro-[1,3]dioxolo[4,5-c]pyran]-7'-ol",CC1(C)OC2COC3(COC(C)(C)O3)C(O)C2O1,0.827393791,54,0.78%
"beta-D-Fructopyranose, 2,3:4,5-bis-O-(1-methylethylidene)-",CC1(C)OC2COC3(CO)OC(C)(C)OC3C2O1,0.827234204,55,0.80%
N-[4-(2-methyl-4-oxoquinazolin-3-yl)phenyl]-4-nitrobenzamide,Cc1nc2ccccc2c(=O)n1-c1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2)cc1,0.826775446,56,0.81%
"(2E)-3-(4-hydroxy-3-methoxy-5-nitrophenyl)-2-[4-(4-methylphenyl)-1,3-thiazol-2-yl]prop-2-enenitrile",COc1cc(/C=C(\C#N)c2nc(-c3ccc(C)cc3)cs2)cc([N+](=O)[O-])c1O,0.825803911,57,0.83%
"2-(5-Methylisoxazol-3-yl)-1-(4-nitrophenyl)-1,2-dihydrochromeno[2,3-c]pyrrole-3,9-dione",Cc1cc(N2C(=O)c3oc4ccccc4c(=O)c3C2c2ccc([N+](=O)[O-])cc2)no1,0.823787445,58,0.84%
"(E)-ethyl 5-(4-methoxyphenyl)-7-methyl-2-(4-nitrobenzylidene)-3-oxo-3,5-dihydro-2H-thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc([N+](=O)[O-])cc3)c(=O)n2C1c1ccc(OC)cc1,0.821521476,59,0.86%
Isoquinolin-1-yl(phenyl)methyl 4-nitrobenzoate,O=C(OC(c1ccccc1)c1nccc2ccccc12)c1ccc([N+](=O)[O-])cc1,0.821406394,60,0.87%
"N-(5-chloro-2,4-dimethoxyphenyl)-2-((1-((4-chlorophenyl)sulfonyl)-1H-benzo[d]imidazol-2-yl)thio)acetamide",COc1cc(OC)c(NC(=O)CSc2nc3ccccc3n2S(=O)(=O)c2ccc(Cl)cc2)cc1Cl,0.820316675,61,0.88%
"2-Benzotriazol-1-yl-6-hydroxymethyl-tetrahydro-pyran-3,4,5-triol",OCC1OC(n2nnc3ccccc32)C(O)C(O)C1O,0.819907835,62,0.90%
"N-(benzo[d][1,3]dioxol-5-yl)-3-methyl-6-(3-nitrophenyl)imidazo[2,1-b]thiazole-2-carboxamide",Cc1c(C(=O)Nc2ccc3c(c2)OCO3)sc2nc(-c3cccc([N+](=O)[O-])c3)cn12,0.819443356,63,0.91%
(E)-3-(4-hydroxy-3-methoxy-5-nitrophenyl)-2-(4-phenylthiazol-2-yl)acrylonitrile,COc1cc(/C=C(\C#N)c2nc(-c3ccccc3)cs2)cc([N+](=O)[O-])c1O,0.818803575,64,0.93%
N-[3-(benzylsulfanyl)-4-hydroxynaphthalen-1-yl]-4-chlorobenzene-1-sulfonamide,O=S(=O)(Nc1cc(SCc2ccccc2)c(O)c2ccccc12)c1ccc(Cl)cc1,0.81761743,65,0.94%
"N-(4-methoxybenzyl)-3-methyl-6-(3-nitrophenyl)imidazo[2,1-b]thiazole-2-carboxamide",COc1ccc(CNC(=O)c2sc3nc(-c4cccc([N+](=O)[O-])c4)cn3c2C)cc1,0.816460184,66,0.96%
"(E)-ethyl 7-methyl-5-(4-(methylthio)phenyl)-2-(2-nitrobenzylidene)-3-oxo-3,5-dihydro-2H-thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccccc3[N+](=O)[O-])c(=O)n2C1c1ccc(SC)cc1,0.815179442,67,0.97%
"5-(((7-chloro-4-oxo-4H-pyrido[1,2-a]pyrimidin-2-yl)methyl)thio)-3-(2-fluoro-5-methylphenyl)-2-thioxo-6-(p-tolyl)-2,3-dihydrothiazolo[4,5-d]pyrimidin-7(6H)-one",Cc1ccc(-n2c(SCc3cc(=O)n4cc(Cl)ccc4n3)nc3c(sc(=S)n3-c3cc(C)ccc3F)c2=O)cc1,0.81476045,68,0.99%
"4-benzyl-N-[4-(3-nitrophenyl)-1,3-thiazol-2-yl]benzamide",O=C(Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1)c1ccc(Cc2ccccc2)cc1,0.814657705,69,1.00%
"N-(2-ethoxyphenyl)-6-methyl-4-(3-nitrophenyl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CCOc1ccccc1NC(=O)C1=C(C)NC(=O)NC1c1cccc([N+](=O)[O-])c1,0.813125101,70,1.01%
N-(4-(4-nitrophenyl)thiazol-2-yl)-3-(pentyloxy)benzamide,CCCCCOc1cccc(C(=O)Nc2nc(-c3ccc([N+](=O)[O-])cc3)cs2)c1,0.812626418,71,1.03%
"N-[4,5-dihydroxy-6-(hydroxymethyl)-2-methoxyoxan-3-yl]acetamide",COC1OC(CO)C(O)C(O)C1NC(C)=O,0.811987314,72,1.04%
"N-[2-(butan-2-yloxy)-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",CCC(C)OC1OC(CO)C(O)C(O)C1NC(C)=O,0.811932665,73,1.06%
"4-(4-chloro-3-nitrophenyl)-N-(3-chlorophenyl)-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CC1=C(C(=O)Nc2cccc(Cl)c2)C(c2ccc(Cl)c([N+](=O)[O-])c2)NC(=O)N1,0.811723375,74,1.07%
"2-chloro-N-[4-(2-methoxyphenyl)-1,3-thiazol-2-yl]-5-nitrobenzamide",COc1ccccc1-c1csc(NC(=O)c2cc([N+](=O)[O-])ccc2Cl)n1,0.811696624,75,1.09%
"3-(3,4-Dimethoxyphenyl)-7-[(4-fluorophenyl)methoxy]chromen-4-one",COc1ccc(-c2coc3cc(OCc4ccc(F)cc4)ccc3c2=O)cc1OC,0.811581864,76,1.10%
2-[1-(4-nitrophenyl)imidazol-2-yl]sulfanyl-N-[3-(trifluoromethyl)phenyl]acetamide,O=C(CSc1nccn1-c1ccc([N+](=O)[O-])cc1)Nc1cccc(C(F)(F)F)c1,0.811512056,77,1.12%
"N-(3-chlorophenyl)-6-methyl-4-(3-nitrophenyl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CC1=C(C(=O)Nc2cccc(Cl)c2)C(c2cccc([N+](=O)[O-])c2)NC(=O)N1,0.811368524,78,1.13%
N-[3-(2-methyl-4-oxoquinazolin-3-yl)phenyl]-2-nitrobenzamide,Cc1nc2ccccc2c(=O)n1-c1cccc(NC(=O)c2ccccc2[N+](=O)[O-])c1,0.811280657,79,1.15%
"N-(4-chlorophenyl)-6-methyl-4-(3-nitrophenyl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CC1=C(C(=O)Nc2ccc(Cl)cc2)C(c2cccc([N+](=O)[O-])c2)NC(=O)N1,0.810358774,80,1.16%
"N-(2-chlorophenyl)-6-methyl-4-(4-nitrophenyl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CC1=C(C(=O)Nc2ccccc2Cl)C(c2ccc([N+](=O)[O-])cc2)NC(=O)N1,0.810090468,81,1.17%
"4-((3,4-dihydroquinolin-1(2H)-yl)sulfonyl)-N-(5-(3,4,5-trimethoxyphenyl)-1,3,4-oxadiazol-2-yl)benzamide",COc1cc(-c2nnc(NC(=O)c3ccc(S(=O)(=O)N4CCCc5ccccc54)cc3)o2)cc(OC)c1OC,0.81004746,82,1.19%
"2-(2,4-Dichlorophenyl)-7-methoxychromen-4-one",COc1ccc2c(=O)cc(-c3ccc(Cl)cc3Cl)oc2c1,0.809789393,83,1.20%
"N-(2-ethoxyphenyl)-6-methyl-4-(4-nitrophenyl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CCOc1ccccc1NC(=O)C1=C(C)NC(=O)NC1c1ccc([N+](=O)[O-])cc1,0.809543438,84,1.22%
"N-(3-chlorophenyl)-6-methyl-4-(4-nitrophenyl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CC1=C(C(=O)Nc2cccc(Cl)c2)C(c2ccc([N+](=O)[O-])cc2)NC(=O)N1,0.808623035,85,1.23%
"N-(4-bromophenyl)-4-(4-chloro-3-nitrophenyl)-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CC1=C(C(=O)Nc2ccc(Br)cc2)C(c2ccc(Cl)c([N+](=O)[O-])c2)NC(=O)N1,0.808355949,86,1.25%
"(E)-methyl 7-methyl-2-(4-nitrobenzylidene)-3-oxo-5-phenyl-3,5-dihydro-2H-thiazolo[3,2-a]pyrimidine-6-carboxylate",COC(=O)C1=C(C)N=c2s/c(=C/c3ccc([N+](=O)[O-])cc3)c(=O)n2C1c1ccccc1,0.808198712,87,1.26%
N-(4-butylphenyl)-2-((1-(4-nitrophenyl)-1H-imidazol-2-yl)thio)acetamide,CCCCc1ccc(NC(=O)CSc2nccn2-c2ccc([N+](=O)[O-])cc2)cc1,0.807578088,88,1.28%
"N-(4-chlorophenyl)-6-methyl-4-(4-nitrophenyl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CC1=C(C(=O)Nc2ccc(Cl)cc2)C(c2ccc([N+](=O)[O-])cc2)NC(=O)N1,0.807494182,89,1.29%
"3-(3,4-Dimethoxyphenyl)-7-[(2-fluorophenyl)methoxy]chromen-4-one",COc1ccc(-c2coc3cc(OCc4ccccc4F)ccc3c2=O)cc1OC,0.807005502,90,1.30%
"7-((2-chloro-4-fluorobenzyl)oxy)-3-(3,4-dimethoxyphenyl)-4H-chromen-4-one",COc1ccc(-c2coc3cc(OCc4ccc(F)cc4Cl)ccc3c2=O)cc1OC,0.806565753,91,1.32%
"N-(4-ethoxyphenyl)-6-methyl-4-(4-nitrophenyl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CCOc1ccc(NC(=O)C2=C(C)NC(=O)NC2c2ccc([N+](=O)[O-])cc2)cc1,0.804787982,92,1.33%
7-Chloro-5-nitroquinolin-8-ol,O=[N+]([O-])c1cc(Cl)c(O)c2ncccc12,0.804529817,93,1.35%
"4-amino-1-(3,4-dihydroxy-5-(hydroxymethyl)-3-methyltetrahydrofuran-2-yl)pyrimidin-2(1H)-one",CC1(O)C(O)C(CO)OC1n1ccc(N)nc1=O,0.80417038,94,1.36%
"N-[4-(naphthalen-2-yl)-1,3-thiazol-2-yl]-4-nitrobenzamide",O=C(Nc1nc(-c2ccc3ccccc3c2)cs1)c1ccc([N+](=O)[O-])cc1,0.803810123,95,1.38%
"3-Ethyl-2-((E)-2-[5-((Z)-2-[3-ethyl-5-methoxy-1,3-benzothiazol-2(3H)-ylidene]ethylidene)-2H-pyran-3(6H)-YL]ethenyl)-5-methoxy-1,3-benzothiazol-3-ium 4-methylbenzenesulfonate",CCN1/C(=C/C=C2/C=C(/C=C/c3sc4ccc(OC)cc4[n+]3CC)COC2)Sc2ccc(OC)cc21.Cc1ccc(S(=O)(=O)[O-])cc1,0.803576949,96,1.39%
"3-(3,4-Dimethoxyphenyl)-7-[(2,5-dimethylphenyl)methoxy]chromen-4-one",COc1ccc(-c2coc3cc(OCc4cc(C)ccc4C)ccc3c2=O)cc1OC,0.802977758,97,1.41%
Arabinofuranosyluracil,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,0.802501533,98,1.42%
"N-(2-methoxyphenyl)-6-methyl-4-(4-nitrophenyl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",COc1ccccc1NC(=O)C1=C(C)NC(=O)NC1c1ccc([N+](=O)[O-])cc1,0.802416213,99,1.44%
"Benzyl 6-methyl-4-(4-nitrophenyl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate",CC1=C(C(=O)OCc2ccccc2)C(c2ccc([N+](=O)[O-])cc2)NC(=O)N1,0.800369346,100,1.45%
"N-(4-methoxyphenyl)-6-methyl-4-(3-nitrophenyl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",COc1ccc(NC(=O)C2=C(C)NC(=O)NC2c2cccc([N+](=O)[O-])c2)cc1,0.800308818,101,1.46%
Methyl 2-(2-(((benzyloxy)carbonyl)amino)-3-methylbutanamido)-3-phenylpropanoate,COC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)OCc1ccccc1)C(C)C,0.8,102,1.48%
N-[(benzyloxy)carbonyl]-3-methylvaline,CC(C)(C)C(NC(=O)OCc1ccccc1)C(=O)O,0.8,103,1.49%
2-chloro-N-(3-hydroxyphenyl)-5-nitrobenzamide,O=C(Nc1cccc(O)c1)c1cc([N+](=O)[O-])ccc1Cl,0.799678475,104,1.51%
1-(6-ethoxybenzo[d]thiazol-2-yl)-4-(furan-2-carbonyl)-3-hydroxy-5-(3-nitrophenyl)-1H-pyrrol-2(5H)-one,CCOc1ccc2nc(N3C(=O)C(O)=C(C(=O)c4ccco4)C3c3cccc([N+](=O)[O-])c3)sc2c1,0.7991752,105,1.52%
"4-nitro-N-[4-(4-propoxyphenyl)-1,3-thiazol-2-yl]benzamide",CCCOc1ccc(-c2csc(NC(=O)c3ccc([N+](=O)[O-])cc3)n2)cc1,0.798408728,106,1.54%
"(Z)-2-(5-(3,4-dimethoxybenzylidene)-2,4-dioxothiazolidin-3-yl)-N-(4-nitrophenyl)acetamide",COc1ccc(/C=C2\SC(=O)N(CC(=O)Nc3ccc([N+](=O)[O-])cc3)C2=O)cc1OC,0.798371412,107,1.55%
(Z)-2-(4-nitrobenzylidene)-6-(2-oxopropoxy)benzofuran-3(2H)-one,CC(=O)COc1ccc2c(c1)O/C(=C\c1ccc([N+](=O)[O-])cc1)C2=O,0.796680053,108,1.57%
"N-(2,4-difluorophenyl)-2-((1-(4-nitrophenyl)-1H-imidazol-2-yl)thio)acetamide",O=C(CSc1nccn1-c1ccc([N+](=O)[O-])cc1)Nc1ccc(F)cc1F,0.796423174,109,1.58%
"N-(2,5-dimethylphenyl)-6-methyl-4-(4-nitrophenyl)-2-thioxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CC1=C(C(=O)Nc2cc(C)ccc2C)C(c2ccc([N+](=O)[O-])cc2)NC(=S)N1,0.795823346,110,1.59%
